filename,city,state,Geography,District #,office,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Berkeley_11032020_MayorBerkeleyRCV.csv,Berkeley,CA,city,,Mayor,2020,77160,56907,65788,5.5,17,619,14654,63018,160156,104716,62190,254,2219,31581,12021,563,121385,26086,14120,121385,121385,45788
Berkeley_11062012_Mayor.csv,Berkeley,CA,city,,Mayor,2012,71341,50081.382000000005,61109,8.3,98,870,12564,64553,101774,65283,56064,165,1878,26953,11669,526,115688,24070,14167,115688,115688,45569
Berkeley_11062018_CityAuditor.csv,Berkeley,CA,city,,City auditor,2018,78378,57332,67394,5.2,34,617,13416,65772,136100,91259,63884,207,2482,31274,12929,927,123065,26148,14764,123065,123065,45884
Berkeley_11082016_Mayor.csv,Berkeley,CA,city,,Mayor,2016,75035,54772,66574,5.5,33,853,13772,65056,124789,80912,62909,143,2241,29569,12595,979,120926,24889,14462,120926,120926,44978
Burlington_03032009_Mayor.csv,Burlington,VT,city,,Mayor,2009,23632,10303.552,24565,8.1,41,340,955,37305,58632,41024,22568,182,588,1740,1796,19,42192,3549,1662,42192,42192,16773
Burlington_03072006_Mayor.csv,Burlington,VT,city,,Mayor,2006,20798,,22805,,34,432,693,35250,55951,38598,21129,167,327,1136,1221,9,38630,3133,1571,38630,38630,15156
Corvallis_11082022_Mayor.csv,Corvallis,OR,city,,Mayor,2022,32289,19502,32304,8,30,368,5219,44665,86174,61610,29720,462,1418,7436,1678,453,60050,7838,5409,60050,60050,24125
Easthampton_11022021_Mayor.csv,Easthampton,MA,city,,Mayor,2021,12526,4930,8548,5.4,0,48,1277,13895,88267,67329,8089,97,86,436,760,0,16136,1207,308,16136,16136,7935
Eastpointe_11052019_CityCouncil.csv,Eastpointe,MI,city,,City council,2019,23231,3531,16802,11.2,0,347,570,14459,62346,52269,14926,23,373,276,18240,5,34148,1078,373,34148,34148,13373
ElkRidge_11022021_Mayor.csv,Elk Ridge,UT,city,,Mayor,2021,2529,937,1989,4.8,0,84,201,4232,141985,126131,1893,4,31,87,25,105,4658,68,28,4658,4658,1229
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,Las Cruces,NM,city,,Mayor,2019,67763,24690,50538,7.5,238,1222,67921,34731,64425,47722,46744,1002,3588,2490,3839,216,109934,12109,6689,109934,109934,43995
Minneapolis_11022021_Mayor.csv,Minneapolis,MN,city,,Mayor,2021,287404,153769,259198,5.8,368,5188,42067,256323,108980,76332,244212,1193,13186,28721,92053,675,426877,61781,28106,426877,426877,185674
Minneapolis_11022021_ParkBoardAtLarge.csv,Minneapolis,MN,city,,Park board,2021,287404,153769,259198,5.8,368,5188,42067,256323,108980,76332,244212,1193,13186,28721,92053,675,426877,61781,28106,426877,426877,185674
Minneapolis_11052013_Mayor.csv,Minneapolis,MN,city,,Mayor,2013,263897,125087.178,240754,7.6,65,6375,39857,241066,75185,51480,222453,1036,11647,28780,83922,948,399950,61918,36346,399950,399950,168385
Minneapolis_11062009_Mayor.csv,Minneapolis,MN,city,,Mayor,2009,250683,112055.301,228833,9.5,81,6324,36719,238110,68190,47478,207205,632,11925,23870,75883,405,381833,56744,36443,381833,381833,168273
Minneapolis_11072017_Mayor.csv,Minneapolis,MN,city,,Mayor,2017,280424,141463,256184,5.1,65,5943,40432,252180,89282,62583,243171,952,11876,30759,91094,740,420324,65579,34946,420324,420324,176974
Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,Minnetonka,MN,city,,City council,2021,39790,25011,30473,2.5,0,627,1750,44140,155963,114867,29703,119,391,4379,2966,0,53529,5579,2525,53529,53529,23402
Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,Minnetonka,MN,city,,City council,2021,39790,25011,30473,2.5,0,627,1750,44140,155963,114867,29703,119,391,4379,2966,0,53529,5579,2525,53529,53529,23402
Minnetonka_11022021_Mayor.csv,Minnetonka,MN,city,,Mayor,2021,39790,25011,30473,2.5,0,627,1750,44140,155963,114867,29703,119,391,4379,2966,0,53529,5579,2525,53529,53529,23402
NewYorkCity_06222021_DEMComptrollerCitywide.csv,New York ,NY,city,,City comptroller,2021,6126610,2463674,4445502,7.6,3332,99685,2503005,2687138,122667,76607,4108682,3940,128153,1387836,2280397,21421,8622467,3133149,1293408,8622467,8622467,3282804
NewYorkCity_06222021_DEMMayorCitywide.csv,New York ,NY,city,,Mayor,2021,6126610,2463674,4445502,7.6,3332,99685,2503005,2687138,122667,76607,4108682,3940,128153,1387836,2280397,21421,8622467,3133149,1293408,8622467,8622467,3282804
NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,New York ,NY,city,,Public advocate,2021,6126610,2463674,4445502,7.6,3332,99685,2503005,2687138,122667,76607,4108682,3940,128153,1387836,2280397,21421,8622467,3133149,1293408,8622467,8622467,3282804
NewYorkCity_06222021_REPMayorCitywide.csv,New York ,NY,city,,Mayor,2021,6126610,2463674,4445502,7.6,3332,99685,2503005,2687138,122667,76607,4108682,3940,128153,1387836,2280397,21421,8622467,3133149,1293408,8622467,8622467,3282804
Oakland_11022010_CityAuditor.csv,Oakland,CA,city,,City auditor,2010,271407,102863.253,207904,11.6,338,5689,99882,102225,77888,51683,183807,622,7828,72858,116274,4008,392890,108109,62587,392890,392890,154257
Oakland_11022010_Mayor.csv,Oakland,CA,city,,Mayor,2010,271407,102863.253,207904,11.6,338,5689,99882,102225,77888,51683,183807,622,7828,72858,116274,4008,392890,108109,62587,392890,392890,154257
Oakland_11032020_CityAttorneyOaklandRCV.csv,Oakland,CA,city,,District attorney,2020,322918,156333,247759,5.8,342,5701,116550,126780,139468,94389,233396,965,12005,84571,110157,4273,437825,115087,58022,437825,437825,170282
Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,Oakland,CA,city,,City council,2020,322918,156333,247759,5.8,342,5701,116550,126780,139468,94389,233396,965,12005,84571,110157,4273,437825,115087,58022,437825,437825,170282
Oakland_11042014_CityAuditor.csv,Oakland,CA,city,,City auditor,2014,292651,116182.447,227583,9.3,182,6021,109919,112685,87330,57778,206415,1060,9187,77068,115768,4613,412040,112305,61131,412040,412040,158937
Oakland_11042014_Mayor.csv,Oakland,CA,city,,Mayor,2014,292651,116182.447,227583,9.3,182,6021,109919,112685,87330,57778,206415,1060,9187,77068,115768,4613,412040,112305,61131,412040,412040,158937
Oakland_11062012_CityAttorney.csv,Oakland,CA,city,,District attorney,2012,281250,108562.5,216557,11.8,242,5621,104122,106736,80758,52962,191072,857,9016,76109,116598,4071,402339,108985,60414,402339,402339,155918
Oakland_11062012_CityCouncilAtLarge.csv,Oakland,CA,city,,City council,2012,281250,108562.5,216557,11.8,242,5621,104122,106736,80758,52962,191072,857,9016,76109,116598,4071,402339,108985,60414,402339,402339,155918
Oakland_11062018_CityAuditor.csv,Oakland,CA,city,,City auditor,2018,309242,142451,239639,6,180,5366,113901,120547,116585,80143,225325,988,10103,79293,110160,4817,422575,111966,57789,422575,422575,160095
Oakland_11062018_Mayor.csv,Oakland,CA,city,,Mayor,2018,309242,142451,239639,6,180,5366,113901,120547,116585,80143,225325,988,10103,79293,110160,4817,422575,111966,57789,422575,422575,160095
Oakland_11082016_CouncilAtLrg.csv,Oakland,CA,city,,City council,2016,305097,129751,236412,6.6,117,5590,113134,118713,101853,68442,220792,1106,9522,78302,113352,5342,421042,116179,62172,421042,421042,161483
Oakland_11082022_Mayor.csv,Oakland,CA,city,,Mayor,2022,322918,156333,247759,5.8,342,5701,116550,126780,139468,94389,233396,965,12005,84571,110157,4273,437825,115087,58022,437825,437825,170282
Payson_11052019_CityCouncil.csv,Payson,UT,city,,City council,2019,10981,2712,10620,4.2,17,318,2753,17220,88434,75682,10170,125,350,302,269,345,21093,1196,730,21093,21093,5852
Portland_06082021_charter_commission_at_large.csv,Portland,OR,city,,City charter commission,2021,487190,256001,389536,5.6,186,5751,66368,441135,117687,85876,367733,2082,17509,72055,51313,6938,646101,81652,34439,646101,646101,283896
Portland_06142022_SchoolboardAL.csv,Portland,OR,city,,Board of education,2022,487190,256001,389536,5.6,186,5751,66368,441135,117687,85876,367733,2082,17509,72055,51313,6938,646101,81652,34439,646101,646101,283896
Portland_06142022_SchoolboardAL-1.csv,Portland,OR,city,,Board of education,2022,487190,256001,389536,5.6,186,5751,66368,441135,117687,85876,367733,2082,17509,72055,51313,6938,646101,81652,34439,646101,646101,283896
SanFrancisco_11052019_DistrictAttorney.csv,San Francisco,CA,city,,District attorney,2019,688969,410052,540475,5.3,286,8238,133241,339050,178742,126187,511902,872,12302,333357,58264,6942,865933,295398,110408,865933,865933,361222
SanFrancisco_11052019_Mayor.csv,San Francisco,CA,city,,Mayor,2019,688969,410052,540475,5.3,286,8238,133241,339050,178742,126187,511902,872,12302,333357,58264,6942,865933,295398,110408,865933,865933,361222
SanFrancisco_11062007_Mayor.csv,San Francisco,CA,city,,Mayor,2007,623699,,474594,,292,8240,113107,355969,100898,70040,443142,925,8922,264367,59098,5477,797271,274632,104222,797271,797271,324185
SanFrancisco_11062018_AssessorRecorder.csv,San Francisco,CA,city,,City assessor,2018,696575,409341,547090,4.7,273,8262,132865,348449,167663,119136,521465,806,10692,335512,57920,6880,874784,299510,110101,874784,874784,362141
SanFrancisco_11082005_AssessorRecorder.csv,San Francisco,CA,city,,City assessor,2005,623699,,474594,,292,8240,113107,355969,100898,70040,443142,925,8922,264367,59098,5477,797271,274632,104222,797271,797271,324185
SanFrancisco_11082005_Treasurer.csv,SanFrancisco,CA,city,,City comptroller,2005,623699,,474594,,292,8240,113107,355969,100898,70040,443142,925,8922,264367,59098,5477,797271,274632,104222,797271,797271,324185
SanFrancisco_11082011_DistrictAttorney.csv,San Francisco,CA,city,,District attorney,2011,635411,332955.364,497993,8.3,300,8350,124167,341100,110208,75604,456845,1001,9813,293485,55821,6634,817501,290752,112220,817501,817501,345344
SanFrancisco_11082011_Mayor.csv,San Francisco,CA,city,,Mayor,2011,635411,332955.364,497993,8.3,300,8350,124167,341100,110208,75604,456845,1001,9813,293485,55821,6634,817501,290752,112220,817501,817501,345344
SanFrancisco_11082011_Sheriff.csv,San Francisco,CA,city,,Sheriff,2011,635411,332955.364,497993,8.3,300,8350,124167,341100,110208,75604,456845,1001,9813,293485,55821,6634,817501,290752,112220,817501,817501,345344
SanFrancisco_11082022_DistrictAttorney.csv,San Francisco,CA,city,,District attorney,2022,680343,406774,526058,5.4,388,8097,131517,325900,197408,136689,497881,846,12848,331359,58145,6945,851036,288169,107197,851036,851036,360842
SanFrancisco_11082022_PublicDefender.csv,San Francisco,CA,city,,Public defender,2022,680343,406774,526058,5.4,388,8097,131517,325900,197408,136689,497881,846,12848,331359,58145,6945,851036,288169,107197,851036,851036,360842
SanLeandro_11022010_Mayor.csv,San Leandro,CA,city,,Mayor,2010,59259,15644.376,46210,11.4,84,1183,23259,22049,75190,62195,40947,29,1745,25910,13027,1581,84966,27677,12036,84966,84966,30179
SanLeandro_11042014_Mayor.csv,San Leandro,CA,city,,Mayor,2014,63037,18154.656000000003,48407,6.8,41,1239,24431,21178,82542,64065,45109,137,2287,31268,12051,1572,89039,32110,13070,89039,89039,31864
SanLeandro_11062018_Mayor.csv,San Leandro,CA,city,,Mayor,2018,66908,21136,49633,5,57,954,24074,20561,105070,86604,47158,187,2382,34385,11638,2346,90489,32472,12478,90489,90489,31274
SantaFe_03062018_Mayor.csv,Santa Fe,NM,city,,Mayor,2018,61897,26022,42874,4.8,138,826,46166,33693,82310,57274,40800,358,2328,1792,1716,323,84418,11979,8134,84418,84418,36096
Springville_11022021_Mayor.csv,Springville,UT,city,,Mayor,2021,18789,7419,16442,2.7,17,787,5599,28073,99894,84699,15997,192,387,588,241,484,35195,2441,1340,35195,35195,10258
TakomaPark_11082022_Mayor.csv,Takoma Park,MD,city,,Mayor,2022,11992,7268,9789,5.1,0,361,2147,7391,139050,95316,9290,23,330,1339,6557,21,17542,5336,2544,17542,17542,6898
Vineyard_11022021_Mayor.csv,Vineyard,UT,city,,Mayor,2021,6144,2705,7573,1.8,0,317,1740,9673,119268,94018,7434,53,418,468,328,407,12663,1173,721,12663,12663,4068
Vineyard_11052019_CityCouncil.csv,Vineyard,UT,city,,City council,2019,5514,2510,6332,2.2,0,304,1138,9440,104805,86355,6194,29,107,348,362,270,11579,857,348,11579,11579,3653
WoodlandHills_11022021_Mayor.csv,Woodland Hills,UT,city,,Mayor,2021,831,403,610,2.3,0,4,89,1219,162499,130096,596,3,7,18,14,10,1329,26,7,1329,1329,355
PierceCounty_11032009_CountyAuditor.csv,Pierce County,WA,county,,County auditor,2009,513521,121190.956,390057,9.6,20098,12267,70279,560440,72808,58824,352720,2532,23383,66591,72917,15378,791528,76096,35941,791528,791528,297839
PierceCounty_11042008_CountyAssessorTreasurer.csv,Pierce County,WA,county,,County assessor,2008,506145,118437.93,384870,8.4,20611,12189,66909,558424,70845,57869,352708,2598,23298,64284,71669,14207,782681,73334,35417,782681,782681,295554
PierceCounty_11042008_CountyExecutiveMember.csv,Pierce County,WA,county,,County executive,2008,506145,118437.93,384870,8.4,20611,12189,66909,558424,70845,57869,352708,2598,23298,64284,71669,14207,782681,73334,35417,782681,782681,295554
SanFrancisco_06052018_Mayor.csv,San Francisco,CA,city,,Mayor,2018,696575,409341,547090,4.7,273,8262,132865,348449,167663,119136,521465,806,10692,335512,57920,6880,874784,299510,110101,874784,874784,362141
SanFrancisco_11032015_Mayor.csv,San Francisco,CA,city,,Mayor,2015,683074,381155.29199999996,534016,5.4,415,8654,131949,353000,137761,96265,504914,1124,10020,322008,55436,6453,864263,300542,112504,864263,864263,358772
Portland_06142022_Schoolboarddistrict5-1.csv,Portland,OR,school board district,,Board of education,2022,487190,256001,389536,5.6,186,5751,66368,441135,117687,85876,367733,2082,17509,72055,51313,6938,646101,81652,34439,646101,646101,283896
Portland_11082022_SchoolBoardDistrict3.csv,Portland,OR,school board district,,Board of education,2022,487190,256001,389536,5.6,186,5751,66368,441135,117687,85876,367733,2082,17509,72055,51313,6938,646101,81652,34439,646101,646101,283896
SanFrancisco_11032015_Sheriff.csv,San Francisco,CA,city,,Sheriff,2015,683074,381155.29199999996,534016,5.4,415,8654,131949,353000,137761,96265,504914,1124,10020,322008,55436,6453,864263,300542,112504,864263,864263,358772
Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,,AK,state,,President,2020,485871,149397,362197,6.4,20881,10454,54890,428802,110602,86370,339162,16466,148814,65609,38219,17026,734821,58074,22723,734821,734821,264376
Alaska_08162022_HouseofRepresentativesSpecial.csv,,AK,state,,US House,2022,485871,149397,362197,6.4,20881,10454,54890,428802,110602,86370,339162,16466,148814,65609,38219,17026,734821,58074,22723,734821,734821,264376
Alaska_11082022_GovernorLieutenantGovernor.csv,,AK,state,,Lieutenant governor,2022,485871,149397,362197,6.4,20881,10454,54890,428802,110602,86370,339162,16466,148814,65609,38219,17026,734821,58074,22723,734821,734821,264376
Alaska_11082022_USRepresentative.csv,,AK,state,,US House,2022,485871,149397,362197,6.4,20881,10454,54890,428802,110602,86370,339162,16466,148814,65609,38219,17026,734821,58074,22723,734821,734821,264376
Alaska_11082022_USSenator.csv,,AK,state,,US Senate,2022,485871,149397,362197,6.4,20881,10454,54890,428802,110602,86370,339162,16466,148814,65609,38219,17026,734821,58074,22723,734821,734821,264376
Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,,HI,state,,President,2020,1022529,354983,710984,5.1,49403,18055,159023,305224,122902,94814,675071,8718,36846,821784,54780,386769,1450589,261370,104192,1450589,1450589,483906
Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,,HI,state,,President,2020,1022529,354983,710984,5.1,49403,18055,159023,305224,122902,94814,675071,8718,36846,821784,54780,386769,1450589,261370,104192,1450589,1450589,483906
Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,,HI,state,,President,2020,1022529,354983,710984,5.1,49403,18055,159023,305224,122902,94814,675071,8718,36846,821784,54780,386769,1450589,261370,104192,1450589,1450589,483906
Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,,KS,state,,President,2020,1926520,668265,1513506,4,20203,39789,369970,2179129,94263,69747,1452870,45229,73411,113969,221627,7077,2935922,207290,118995,2935922,2935922,1148635
Maine_06122018_DemocraticPrimaryforGovernor.csv,,ME,state,,Governor,2018,982385,319175,704226,4,1994,14221,23143,1242113,78301,59489,675784,16541,23349,23244,27832,1460,1340825,48139,21731,1340825,1340825,569551
Wyoming_04172020_PRESIDENTOFTHEUNITEDSTATES.csv,,WY,state,,President,2020,391802,113581,299351,3.8,3487,7955,60518,476921,94901,72495,287895,28097,21788,8840,9712,1862,577929,19756,11849,577929,577929,234156
Portland_06142022_Schoolboarddistrict5.csv,Portland,OR,school board,,School board,2022,487190,256001,389536,5.6,186,5751,66368,441135,117687,85876,367733,2082,17509,72055,51313,6938,646101,81652,34439,646101,646101,283896
SanFrancisco_11082022_AssessorRecorder.csv,San Francisco,CA,city,,Assessor recorder,2022,680343,406774,526058,5.4,388,8097,131517,325900,197408,136689,497881,846,12848,331359,58145,6945,851036,288169,107197,851036,851036,360842
Minneapolis_11062009_BoardofEstimateandTaxation.csv,Minneapolis,MN,city,,Board of estimate and taxation,2009,250683,112055.301,228833,9.5,81,6324,36719,238110,68190,47478,207205,632,11925,23870,75883,405,381833,56744,36443,381833,381833,168273
Minneapolis_11072017_BoardofEstimateandTaxation.csv,Minneapolis,MN,city,,Board of estimate and taxation,2017,280424,141463,256184,5.1,65,5943,40432,252180,89282,62583,243171,952,11876,30759,91094,740,420324,65579,34946,420324,420324,176974
Minneapolis_11022021_BoardofEstimateandTaxationAtLarge.csv,Minneapolis,MN,city,,Board of estimate and taxation,2021,287404,153769,259198,5.8,368,5188,42067,256323,108980,76332,244212,1193,13186,28721,92053,675,426877,61781,28106,426877,426877,185674
Minneapolis 2013-board of estimation and taxation cvr.csv,Minneapolis,MN,city,,Board of estimate and taxation,2013,263897,125087.178,240754,7.6,65,6375,39857,241066,75185,51480,222453,1036,11647,28780,83922,948,399950,61918,36346,399950,399950,168385
SanFrancisco_11052019_CityAttorney.csv,San Francisco,CA,city,,City attorney,2019,688969,410052,540475,5.3,286,8238,133241,339050,178742,126187,511902,872,12302,333357,58264,6942,865933,295398,110408,865933,865933,361222
Oakland_11082016_CityAttorney.csv,Oakland,CA,city,,City attorney,2016,305097,129751,236412,6.6,117,5590,113134,118713,101853,68442,220792,1106,9522,78302,113352,5342,421042,116179,62172,421042,421042,161483
Oakland_11082022_CityAuditor.csv,Oakland,CA,city,,City auditor,2022,322918,156333,247759,5.8,342,5701,116550,126780,139468,94389,233396,965,12005,84571,110157,4273,437825,115087,58022,437825,437825,170282
Berkeley_11042014_CityAuditor.csv,Berkeley,CA,city,,City auditor,2014,73944,53091.792,65764,7.3,80,881,13187,65771,109218,70393,60995,216,2102,27491,12382,620,118585,24418,14088,118585,118585,45923
Berkeley_11022010_CityAuditor.csv,Berkeley,CA,city,,City auditor,2010,69459,48274.005,59144,7.7,58,890,12516,62488,96098,63505,54592,217,1746,25747,11828,609,112662,24468,14438,112662,112662,44877
Cambridge_11152019_CityCouncil.csv,Cambridge,MA,city council,,City council,2019,78944,63138,72011,3.7,120,1171,10265,67193,154448,112565,69314,103,921,24619,14577,295,116892,34073,20565,116892,116892,47777
Cambridge_11072017_CityCouncil.csv,Cambridge,MA,city council,,City council,2017,79240,62628,73312,4,111,1247,11066,69795,139991,103154,70348,87,903,22252,14219,236,116632,33701,21325,116632,116632,46835
Cambridge_11082005_CityCouncil.csv,Cambridge,MA,city council,,City council,2005,75217,,63580,,369,1330,7829,70633,95925,64420,60440,92,941,14377,13413,241,106255,27316,17246,106255,106255,47100
Cambridge_11082011_CityCouncil.csv,Cambridge,MA,city council,,City council,2011,72386,53203.71,63778,6.1,274,1414,8198,66764,108729,72529,59904,79,1191,16845,14120,144,105737,29243,17540,105737,105737,44345
Cambridge_11072023_CityCouncil.csv,Cambridge,MA,city council,,City council,2023,79997,63931,73356,3.3,152,1068,10302,66070,169569,121539,70910,166,1021,26098,15066,285,117962,34750,21007,117962,117962,49475
Eastpointe_11022021_CityCouncil.csv,Eastpointe,MI,city council,,City council,2021,22988,3423,16611,12.1,0,398,585,13363,68607,57953,14600,0,343,376,19179,38,34087,1047,356,34087,34087,13232
Cambridge_11032009_CityCouncil.csv,Cambridge,MA,city council,,City council,2009,72507,53002.617,62760,6,311,1538,7555,67039,102960,69017,59018,66,958,15859,13953,163,104322,28612,17963,104322,104322,45386
Cambridge_11052013_CityCouncil.csv,Cambridge,MA,city council,,City council,2013,72618,54536.117999999995,66288,5,68,1291,8670,67973,115608,79416,62998,71,1070,18428,13090,232,107916,29231,17696,107916,107916,43801
Cambridge_11062007_CityCouncil.csv,Cambridge,MA,city council,,City council,2007,75217,,63580,,369,1330,7829,70633,95925,64420,60440,92,941,14377,13413,241,106255,27316,17246,106255,106255,47100
Cambridge_11042003_CityCouncil.csv,Cambridge,MA,city council,,City council,2003,75217,,63580,,369,1330,7829,70633,95925,64420,60440,92,941,14377,13413,241,106255,27316,17246,106255,106255,47100
Cambridge_11062001_CityCouncil.csv,Cambridge,MA,city council,,City council,2001,75217,,63580,,369,1330,7829,70633,95925,64420,60440,92,941,14377,13413,241,106255,27316,17246,106255,106255,47100
Cambridge_11032015_CityCouncil.csv,Cambridge,MA,city council,,City council,2015,74490,56984.85,68731,5.2,64,1210,9707,68330,125041,89145,65165,120,931,19703,13823,285,110893,31305,19809,110893,110893,44234
Vineyard_11052019_CityCouncil_tab1.csv,Vineyard,UT,city council,,City council,2019,5514,2510,6332,2.2,0,304,1138,9440,104805,86355,6194,29,107,348,362,270,11579,857,348,11579,11579,3653
Springville_11022021_CityCouncil4yr.csv,Springville,UT,city council,,City council,2021,18789,7419,16442,2.7,17,787,5599,28073,99894,84699,15997,192,387,588,241,484,35195,2441,1340,35195,35195,10258
Vineyard_11052019_CityCouncil_tab2.csv,Vineyard,UT,city council,,City council,2019,5514,2510,6332,2.2,0,304,1138,9440,104805,86355,6194,29,107,348,362,270,11579,857,348,11579,11579,3653
WoodlandHills_11022021_CityCouncil.csv,Woodland Hills,UT,city council,,City council,2021,831,403,610,2.3,0,4,89,1219,162499,130096,596,3,7,18,14,10,1329,26,7,1329,1329,355
