OBJECTID,the_geom,GEOID,STATE,COUNTY,TRACT,BASENAME,NAME,MTFCC,LSADC,FUNCSTAT,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON,OID
46798,"MULTIPOLYGON (((-121.895859999927 37.382744999943, -121.893675999638 37.382886000111, -121.892197999705 37.383632999998, -121.890276000255 37.384800000045, -121.886054000167 37.3873530003, -121.88446400008 37.385530000216, -121.88403200026 37.385038000168, -121.878509999615 37.379884000114, -121.873062000386 37.373791000209, -121.879019000326 37.369655999827, -121.880698000101 37.368007000113, -121.884572000035 37.36975100016, -121.887121000197 37.371492999993, -121.88796399992 37.3722580001, -121.88828899961 37.372555000012, -121.889051000042 37.373484000061, -121.889421999763 37.374891000047, -121.891002999628 37.376922000004, -121.89249599963 37.377829000207, -121.895367000007 37.377706000179, -121.895592999963 37.377680999824, -121.89544599965 37.381867999852, -121.895859999927 37.382744999943)))",06085504311,06,085,504311,5043.11,Census Tract 5043.11,G5020,CT,S,2176514,0,+37.3775441,-121.8846321,+37.3775246,-121.8845878,20790154320357
64999,"MULTIPOLYGON (((-121.963630000007 38.315725999941, -121.963272999632 38.316870999666, -121.961080000021 38.320047999891, -121.959067000335 38.322947999695, -121.958976999923 38.323301000027, -121.960095000007 38.325961000276, -121.953392000427 38.328541999899, -121.951599999776 38.328556000156, -121.951776000401 38.329567000146, -121.94752300035 38.329622999661, -121.947299999869 38.327920000144, -121.942661999854 38.327794000151, -121.942543999853 38.328557000124, -121.938248000145 38.328688999997, -121.937905999838 38.329535000202, -121.933841999933 38.329514999702, -121.933436000052 38.328128999907, -121.929486999775 38.327972000324, -121.929420999653 38.327954000049, -121.921339999698 38.337135000126, -121.914596999936 38.337283000256, -121.906146999911 38.337224999917, -121.896986000406 38.337172000187, -121.897091999813 38.31537199993, -121.915463999949 38.315497000223, -121.915510999805 38.308246999917, -121.933850000329 38.308456000007, -121.933753000244 38.301300000014, -121.947708000298 38.30167200009, -121.947254999663 38.304463000081, -121.950496999761 38.304897000095, -121.951507999714 38.305830999656, -121.951397000284 38.308835999846, -121.953969999837 38.309114999997, -121.958565000194 38.311763000275, -121.961702999636 38.314558000284, -121.963830999848 38.314941999785, -121.963630000007 38.315725999941)))",06095252915,06,095,252915,2529.15,Census Tract 2529.15,G5020,CT,S,14379173,25247,+38.3204439,-121.9284682,+38.3191257,-121.9246180,207903717108045
68410,"MULTIPOLYGON (((-122.000760000068 37.590079999954, -121.993026000444 37.596028000084, -121.988819000424 37.598993999898, -121.988518000125 37.600003999837, -121.981346999842 37.604441999882, -121.967509999789 37.596593999696, -121.961117999655 37.592453000349, -121.957524999929 37.590158999918, -121.957129999919 37.591238000212, -121.952768000088 37.595968999817, -121.951651999654 37.597529000327, -121.949837000335 37.598104999913, -121.948308000348 37.598147999916, -121.947011000164 37.597896000258, -121.946657999987 37.597716000182, -121.942646999785 37.597925000344, -121.939608000077 37.598827000224, -121.938382000039 37.598147999916, -121.93800899977 37.597674999942, -121.938132999619 37.595059999878, -121.937444999705 37.592650000174, -121.93629400001 37.591154000213, -121.934867999955 37.591002000042, -121.932767000405 37.591732000204, -121.932014000195 37.589811999659, -121.930467999591 37.585868000196, -121.929167999933 37.585774000307, -121.929967999999 37.584781000347, -121.926967999751 37.581904000254, -121.928568999708 37.580713999646, -121.927568999625 37.579622000183, -121.92973700002 37.578755000198, -121.929849999998 37.578171999903, -121.929927999816 37.577628999666, -121.931199999885 37.576053999778, -121.93235099958 37.576397000351, -121.933169000088 37.57603400025, -121.932748999964 37.575403000317, -121.932716000352 37.574119000099, -121.932146000439 37.57331499979, -121.93176399995 37.572619000133, -121.933063999608 37.571254999964, -121.935789000395 37.570024000239, -121.939560000397 37.570564999653, -121.942779999855 37.570626999806, -121.94799399963 37.56981599972, -121.949601000333 37.570400000304, -121.952700000316 37.570649000101, -121.957507000385 37.56922600006, -121.959054999741 37.567124999657, -121.961473000381 37.56557099971, -121.967951999655 37.572755999977, -121.968904000057 37.573771000213, -121.971527999663 37.576580000172, -121.974777000331 37.578287000043, -121.977749999917 37.578873999761, -121.986573000211 37.579594000334, -121.990326999596 37.580686999729, -121.991186000112 37.581192999864, -122.001371999814 37.589602000086, -122.000760000068 37.590079999954)))",06001441100,06,001,441100,4411,Census Tract 4411,G5020,CT,S,15151094,0,+37.5852946,-121.9620055,+37.5852993,-121.9620572,20790141324087
37930,"MULTIPOLYGON (((-122.271483000014 38.268807000216, -122.254931999944 38.268012999845, -122.255282999573 38.272514999876, -122.251432000103 38.274802999766, -122.252150999979 38.277539999826, -122.255477999566 38.278813999928, -122.255523999597 38.279830999853, -122.255024000005 38.279830999853, -122.248996999745 38.279740000099, -122.24868399975 38.282131999953, -122.247569999865 38.282291999768, -122.25492899957 38.287049000206, -122.255501999856 38.287050000041, -122.257292999784 38.288284999706, -122.261231000191 38.289564999716, -122.257290000309 38.29211799993, -122.252255999561 38.293280000075, -122.251153000444 38.295414999825, -122.2429300002 38.294660999748, -122.228144999942 38.293265000307, -122.225126000326 38.29315699977, -122.217078999809 38.292069999893, -122.215973000319 38.293359999726, -122.215124999674 38.296085999906, -122.21317800011 38.296757999828, -122.210696999721 38.295733000332, -122.209053000106 38.295604999958, -122.207714999915 38.297043999905, -122.204128999861 38.297928999685, -122.201256999659 38.300791000139, -122.199382000065 38.3015910001, -122.199081999591 38.300113000159, -122.20198200028 38.296714000259, -122.203481999955 38.292913999914, -122.201681999806 38.292413999693, -122.20148199979 38.289313999977, -122.19848200044 38.285813999959, -122.198282000424 38.284813999778, -122.196680999568 38.284414000079, -122.196380999992 38.281914000326, -122.194380999827 38.280814000209, -122.19068099997 38.277513999994, -122.191081000003 38.275913999858, -122.188381000229 38.27161399974, -122.195681000384 38.271513999824, -122.197381000075 38.272714000307, -122.200480999882 38.272014000143, -122.206381999746 38.27161399974, -122.208482000369 38.272213999871, -122.210982000126 38.271914000072, -122.212281999785 38.272813999981, -122.216482000132 38.266014999875, -122.216882000165 38.262314999871, -122.212982000292 38.259114999986, -122.208480999646 38.258414999959, -122.20607299995 38.258795000145, -122.20298099964 38.259215000044, -122.196781000025 38.258414999959, -122.193281000185 38.256415000008, -122.194482000109 38.254118999826, -122.194081000251 38.252914999899, -122.195180000068 38.250716000049, -122.1994809998 38.250915000237, -122.200799999725 38.249410999818, -122.20436700041 38.249302000005, -122.206489999701 38.250932999877, -122.209080999695 38.251115000211, -122.211080999861 38.252215000105, -122.212480999976 38.248715000179, -122.210181000235 38.247414999789, -122.209582000011 38.244816000222, -122.208284000002 38.24421600027, -122.205389000234 38.244620000115, -122.204379000106 38.241018999901, -122.201772000218 38.24032300034, -122.197186999906 38.232817000041, -122.197179000409 38.231413000082, -122.195980000134 38.230409999859, -122.194980999877 38.22522200018, -122.193581999586 38.223523999818, -122.193374000072 38.221214999842, -122.196176999778 38.218920000219, -122.196281000433 38.216116000348, -122.194681000301 38.215214000245, -122.193979999969 38.213614000325, -122.194980000052 38.212317000327, -122.197572999696 38.211814999734, -122.199572999861 38.210622000018, -122.201477999592 38.211619999782, -122.205681000312 38.20821599975, -122.204580999772 38.204815999686, -122.205681000312 38.203615999784, -122.20497999998 38.198516000142, -122.205980000063 38.197916000161, -122.205879999606 38.196216000074, -122.211480999894 38.19211699982, -122.209479999903 38.189917000326, -122.215580999784 38.188417000025, -122.212979999744 38.184317000183, -122.213680000251 38.181017000068, -122.215080000367 38.179717000089, -122.211379999611 38.175617, -122.211179999595 38.174717000159, -122.208879999854 38.172717000029, -122.204579999947 38.172817000245, -122.203179999832 38.171517000161, -122.203579999865 38.168716999672, -122.202520000406 38.168320999723, -122.201892999694 38.168298999898, -122.199711999778 38.168390000029, -122.199064000048 38.168727000178, -122.198079999859 38.168417000101, -122.194484999584 38.16471499995, -122.195970999914 38.162991000281, -122.198981000207 38.159317000151, -122.197877000368 38.157115000151, -122.195380000085 38.155017000221, -122.196631000238 38.155017000221, -122.21345699977 38.154973999838, -122.214611999663 38.154987999653, -122.221125999995 38.155067999656, -122.221504000287 38.156829999838, -122.227031000057 38.161663000232, -122.227770000024 38.162738999774, -122.232798999851 38.163541000056, -122.234313999595 38.16416499985, -122.239938000347 38.164406999982, -122.241643999887 38.164799000293, -122.244138999621 38.165181999724, -122.252924000281 38.165622999741, -122.252848999937 38.166504000165, -122.253499000216 38.171232000352, -122.254843000255 38.179146999938, -122.255393000076 38.18266800031, -122.25566900026 38.189412999649, -122.255815999675 38.191528000004, -122.256302999747 38.195175999932, -122.256234999975 38.204553999986, -122.256217000432 38.206271000088, -122.256276999808 38.207640999857, -122.255394999726 38.208165000093, -122.253196000267 38.211143000151, -122.253206000313 38.218278000074, -122.253720999974 38.220750000092, -122.253264000039 38.222599000129, -122.253234999727 38.228894000151, -122.255173999793 38.230455999908, -122.260929000067 38.234443000067, -122.2675039996 38.240121999824, -122.268115000418 38.241671000086, -122.271431000136 38.253791000328, -122.270980000049 38.257777999767, -122.270769000162 38.263959000265, -122.271483000014 38.268807000216)))",06055201003,06,055,201003,2010.03,Census Tract 2010.03,G5020,CT,S,72219418,210833,+38.2300030,-122.2297984,+38.2374277,-122.2312963,207903717086926
72131,"MULTIPOLYGON (((-122.513397999877 37.968329000306, -122.512210000372 37.968276000227, -122.509398000445 37.967009000207, -122.508409000233 37.966292999699, -122.507362000294 37.966115000066, -122.504372000092 37.968023000258, -122.498995999935 37.969795000082, -122.499684999673 37.967923000128, -122.500461000348 37.965973999756, -122.500873999901 37.965435000072, -122.502135999925 37.962713000079, -122.507211999608 37.965426000067, -122.508250000224 37.965209000329, -122.508965999726 37.964411000255, -122.512633999796 37.966507999803, -122.513397999877 37.968329000306)))",06041112201,06,041,112201,1122.01,Census Tract 1122.01,G5020,CT,S,323251,50963,+37.9663318,-122.5050033,+37.9659228,-122.5057650,207903717189597
858,"MULTIPOLYGON (((-122.284023999709 37.815621999731, -122.280236999813 37.814776999934, -122.278681000062 37.814574000319, -122.279921000344 37.811182999794, -122.280964999909 37.808301000284, -122.281484999593 37.808567999681, -122.28400899964 37.809105999824, -122.286207999997 37.809605999992, -122.284023999709 37.815621999731)))",06001402400,06,001,402400,4024,Census Tract 4024,G5020,CT,S,337011,0,+37.8120291,-122.2824608,+37.8120305,-122.2824576,20790141324032
23313,"MULTIPOLYGON (((-122.010770999868 37.755127000021, -121.997770999691 37.763226999999, -121.998948000224 37.76447800006, -122.004228000122 37.770057999734, -121.999718000153 37.77243599971, -121.995869000333 37.772653999646, -121.996990999716 37.775565999669, -121.997524999644 37.77640099991, -121.996631999691 37.776405000247, -121.994475000065 37.775750999736, -121.990713000284 37.77668700005, -121.988939000074 37.778370000256, -121.99119199996 37.781123000313, -121.992135000141 37.783786999738, -121.994220999622 37.785884000164, -121.994061999613 37.786357000228, -121.998947000399 37.786383999928, -121.998687000108 37.793509999927, -122.000550999831 37.794085000043, -122.00007100033 37.797326000069, -121.9981089998 37.798387999956, -122.000155999821 37.800576000169, -121.988837999792 37.800955999923, -121.990908000278 37.805656999769, -121.992716999749 37.804646000145, -121.993618999923 37.80549499967, -121.994608999959 37.807545999969, -121.994547000035 37.808963000169, -121.995260000063 37.811362000325, -121.992791000267 37.811391000045, -121.991920000056 37.811396999839, -121.991867000353 37.809945000031, -121.990550000077 37.806228000301, -121.987730999579 37.799872000211, -121.984075000103 37.794779000007, -121.982994999655 37.7925519998, -121.980520000011 37.787203999942, -121.98075299964 37.786674000272, -121.97708299992 37.779840999872, -121.976913000041 37.779858000158, -121.976467999802 37.779927999916, -121.975092999801 37.777195999857, -121.972237000391 37.771515999821, -121.97619699964 37.770240999757, -121.976846000094 37.769917000107, -121.978703999969 37.768386000257, -121.982864999958 37.763756000285, -121.984629999947 37.762214000165, -121.986131000345 37.761225999739, -121.987249000429 37.760825999996, -121.98912800022 37.760779999905, -121.995952999999 37.759976999971, -121.996789999875 37.758524000219, -122.006265000097 37.753612000019, -122.011290999552 37.754171999684, -122.010770999868 37.755127000021)))",06013345202,06,013,345202,3452.02,Census Tract 3452.02,G5020,CT,S,7498324,0,+37.7785790,-121.9898567,+37.7679943,-121.9820003,20790146183108
30125,"MULTIPOLYGON (((-122.456373000439 37.706780000244, -122.454391999641 37.707462999912, -122.452470000192 37.708148000274, -122.452300000313 37.708138000153, -122.449751000151 37.708212999959, -122.448078000224 37.705052999819, -122.449958999666 37.70441000035, -122.44913299966 37.703230999747, -122.450546000195 37.702449999913, -122.453000999746 37.70222199977, -122.453623000436 37.70231800029, -122.454778000329 37.702224999832, -122.456339999928 37.702909000264, -122.458115999788 37.70541099986, -122.456373000439 37.706780000244)))",06081600402,06,081,600402,6004.02,Census Tract 6004.02,G5020,CT,S,402368,0,+37.7051427,-122.4529200,+37.7051278,-122.4529129,207903717341928
41044,"MULTIPOLYGON (((-122.430183000114 37.795853999758, -122.426893000336 37.796271999765, -122.426335000119 37.793516999961, -122.425802000017 37.790874000026, -122.422610999973 37.791276999794, -122.422420000177 37.79035799966, -122.425616000244 37.789951999791, -122.428905000197 37.789534000232, -122.42927000007 37.791339000328, -122.429624999897 37.79309799977, -122.430183000114 37.795853999758)))",06075013102,06,075,013102,131.02,Census Tract 131.02,G5020,CT,S,237886,0,+37.7926197,-122.4274297,+37.7926200,-122.4274313,207903717106291
1143,"MULTIPOLYGON (((-121.830838000199 37.251287999849, -121.825073999705 37.251397999976, -121.821818000262 37.251425999801, -121.817494000066 37.251458999939, -121.812840999982 37.251494000047, -121.809802000274 37.251250000015, -121.808861999568 37.251543000029, -121.80775199988 37.25184899982, -121.804024000434 37.251476000177, -121.803944000068 37.245964000077, -121.804056000221 37.243019999858, -121.805918000294 37.243250000083, -121.81768900006 37.243414000194, -121.820398000055 37.243575000013, -121.823478999595 37.244396000345, -121.829987999905 37.24749300009, -121.829968999638 37.248048000199, -121.830838000199 37.251287999849)))",06085512029,06,085,512029,5120.29,Census Tract 5120.29,G5020,CT,S,1903945,0,+37.2476849,-121.8159947,+37.2476813,-121.8160666,20790154319880
7182,"MULTIPOLYGON (((-122.032370000033 37.322799999756, -122.023180000216 37.322849999875, -122.014100000004 37.322870000057, -122.014049999775 37.3200499998, -122.013120000013 37.317860000082, -122.013279999846 37.316170000122, -122.013469999817 37.310529999757, -122.013489999909 37.310410000321, -122.013622999978 37.310399999645, -122.017749999632 37.310090000173, -122.019870000346 37.30991999992, -122.02110999973 37.309540000108, -122.023180000216 37.309869999772, -122.028880000238 37.311519999945, -122.031569999967 37.312298999661, -122.03226899975 37.312229000231, -122.032339999896 37.315560000324, -122.032339999896 37.315624999877, -122.032370000033 37.322799999756)))",06085508001,06,085,508001,5080.01,Census Tract 5080.01,G5020,CT,S,2270971,0,+37.3166454,-122.0226560,+37.3166391,-122.0226591,20790154322683
6449,"MULTIPOLYGON (((-122.412908000145 37.802183999716, -122.411375999785 37.801125000065, -122.40901400012 37.799490000306, -122.407869000272 37.798696999812, -122.407082999551 37.798152000196, -122.406668000348 37.797864999918, -122.405512999556 37.797065000027, -122.408430999788 37.796703999712, -122.411718999917 37.796291000161, -122.411911000435 37.797245000155, -122.412282999981 37.799095999679, -122.412471000302 37.800032000339, -122.412848999696 37.801892999821, -122.412908000145 37.802183999716)))",06075010700,06,075,010700,107,Census Tract 107,G5020,CT,S,183170,0,+37.7985143,-122.4100463,+37.7985140,-122.4100466,20790355746807
10348,"MULTIPOLYGON (((-122.45917899962 37.785682000246, -122.455050000316 37.786208999721, -122.454774000131 37.786243999796, -122.450117999674 37.786837999649, -122.445401999841 37.787438000017, -122.443753000203 37.787646999986, -122.443369999889 37.785759000227, -122.443183000291 37.784826999654, -122.442810000022 37.782971000131, -122.442793000304 37.782884999761, -122.445826000164 37.782511999721, -122.447302000447 37.782392000132, -122.454185999777 37.781651000006, -122.456303999943 37.781448999878, -122.458878000219 37.781326000285, -122.45899799987 37.783189000241, -122.45917899962 37.785682000246)))",06075015400,06,075,015400,154,Census Tract 154,G5020,CT,S,719491,0,+37.7843446,-122.4510246,+37.7843623,-122.4510341,20790355747116
36159,"MULTIPOLYGON (((-122.500529185173 37.700835302563, -122.49617800016 37.700852999778, -122.495332000063 37.699191000345, -122.495055000054 37.69837999984, -122.494409999798 37.692557000342, -122.49279600032 37.690467000254, -122.490022999853 37.687931000159, -122.48922600016 37.686349000043, -122.489058999755 37.685148999838, -122.489343000336 37.683360999844, -122.490304999885 37.678493000177, -122.490251000357 37.677389000236, -122.489817999814 37.675676000207, -122.488853999716 37.673800999849, -122.486442999647 37.66970500034, -122.485409999952 37.668548999975, -122.484841999689 37.668147999704, -122.481903000439 37.666381999985, -122.481597999942 37.666133999685, -122.485146000361 37.666845000164, -122.485015999767 37.664289000339, -122.485516000257 37.664293000335, -122.485597000448 37.661677000201, -122.488221000054 37.661018000126, -122.489822000012 37.661130999758, -122.491581999977 37.662224999882, -122.491763999552 37.662322000114, -122.493063000284 37.663650000141, -122.493593000013 37.664349000258, -122.495378215689 37.664349843635, -122.495430755455 37.665175171643, -122.4957230933 37.669767453298, -122.496589966651 37.683384976588, -122.496784000057 37.686432999828, -122.500529185173 37.700835302563)))",06081601000,06,081,601000,6010,Census Tract 6010,G5020,CT,S,2679864,1452216,+37.6785277,-122.4926934,+37.6727071,-122.4929607,20790351436751
52228,"MULTIPOLYGON (((-122.017906000166 37.574916000225, -122.015392000165 37.577944999904, -122.013875999698 37.580115000139, -122.013777999789 37.580275000258, -122.013355000189 37.580965000302, -122.01062100008 37.581415999741, -122.009870000418 37.580781000346, -122.009436999874 37.580198000253, -122.008098999683 37.57969300001, -122.007974999834 37.579905999796, -122.006639000191 37.582208999929, -122.006515000342 37.582662000078, -122.006517999817 37.582798999955, -121.997442999628 37.575795999688, -121.988369999987 37.568829000045, -121.987061999933 37.568032999977, -121.984121999959 37.568000000154, -121.98353100013 37.566463000062, -121.995937000105 37.563040999978, -121.997090000349 37.564076000058, -121.999575000038 37.564143999807, -122.005127999747 37.563368000318, -122.007127999912 37.564635999958, -122.008159999782 37.56553500033, -122.008842999672 37.566781999814, -122.009761999564 37.568755000068, -122.01454199987 37.571711999827, -122.014130000141 37.572077000336, -122.017620999761 37.574157000246, -122.018310000397 37.574432000038, -122.017906000166 37.574916000225)))",06001441301,06,001,441301,4413.01,Census Tract 4413.01,G5020,CT,S,3293434,0,+37.5717306,-122.0026475,+37.5717252,-122.0026581,20790141323907
28487,"MULTIPOLYGON (((-122.538542999913 37.944498999755, -122.537196000399 37.945854999653, -122.537266999646 37.946560999911, -122.537612000326 37.947494999951, -122.537500999998 37.948040000257, -122.536966000245 37.948623000288, -122.536309000294 37.94887800025, -122.535363999565 37.949080999784, -122.534463000115 37.949511999771, -122.534001999982 37.950029999987, -122.533685999615 37.950539999884, -122.525296999689 37.947583999718, -122.520258999641 37.945654000246, -122.516499000408 37.943511999647, -122.515935000343 37.94212400019, -122.518214000168 37.942108999671, -122.518680000323 37.941786999985, -122.521212999693 37.94181899967, -122.528521000243 37.943921999933, -122.529127999966 37.94367199984, -122.530435000195 37.943320999681, -122.532133000236 37.942486999904, -122.534883000239 37.942389000345, -122.537578999816 37.943180000241, -122.538542999913 37.944498999755)))",06041119201,06,041,119201,1192.01,Census Tract 1192.01,G5020,CT,S,902124,144369,+37.9454701,-122.5287744,+37.9456796,-122.5282641,207903717189599
