Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group
DP02_0049E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0049EA,
                DP02_0049M,
                DP02_0049MA",0,int,DP02
DP02_0050E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0050EA,
                DP02_0050M,
                DP02_0050MA",0,int,DP02
DP02_0051E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0051EA,
                DP02_0051M,
                DP02_0051MA",0,int,DP02
DP02_0052E,Number!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0052EA,
                DP02_0052M,
                DP02_0052MA",0,int,DP02
DP02_0053E,"Number!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0053EA,
                DP02_0053M,
                DP02_0053MA",0,int,DP02
DP02_0054E,Number!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0054EA,
                DP02_0054M,
                DP02_0054MA",0,int,DP02
DP02_0055E,Number!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0055EA,
                DP02_0055M,
                DP02_0055MA",0,int,DP02
DP02_0056E,Number!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0056EA,
                DP02_0056M,
                DP02_0056MA",0,int,DP02
DP02_0057E,Number!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0057EA,
                DP02_0057M,
                DP02_0057MA",0,int,DP02
DP02_0058E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0058EA,
                DP02_0058M,
                DP02_0058MA",0,int,DP02
DP02_0059E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0059EA,
                DP02_0059M,
                DP02_0059MA",0,int,DP02
DP02_0060E,"Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0060EA,
                DP02_0060M,
                DP02_0060MA",0,int,DP02
DP02_0061E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0061EA,
                DP02_0061M,
                DP02_0061MA",0,int,DP02
DP02_0062E,"Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0062EA,
                DP02_0062M,
                DP02_0062MA",0,int,DP02
DP02_0063E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0063EA,
                DP02_0063M,
                DP02_0063MA",0,int,DP02
DP02_0064E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0064EA,
                DP02_0064M,
                DP02_0064MA",0,int,DP02
DP02_0065E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0065EA,
                DP02_0065M,
                DP02_0065MA",0,int,DP02
DP02_0066E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Percent high school graduate or higher,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0066EA,
                DP02_0066M,
                DP02_0066MA",0,float,DP02
DP02_0067E,Number!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Percent bachelor's degree or higher,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0067EA,
                DP02_0067M,
                DP02_0067MA",0,float,DP02
DP02_0068E,Number!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0068EA,
                DP02_0068M,
                DP02_0068MA",0,int,DP02
DP02_0069E,Number!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0069EA,
                DP02_0069M,
                DP02_0069MA",0,int,DP02
DP02_0070E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0070EA,
                DP02_0070M,
                DP02_0070MA",0,string,DP02
DP02_0071E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0071EA,
                DP02_0071M,
                DP02_0071MA",0,string,DP02
DP02_0072E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0072EA,
                DP02_0072M,
                DP02_0072MA",0,string,DP02
DP02_0073E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0073EA,
                DP02_0073M,
                DP02_0073MA",0,string,DP02
DP02_0074E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0074EA,
                DP02_0074M,
                DP02_0074MA",0,string,DP02
DP02_0075E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0075EA,
                DP02_0075M,
                DP02_0075MA",0,string,DP02
DP02_0076E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0076EA,
                DP02_0076M,
                DP02_0076MA",0,string,DP02
DP02_0077E,Number!!Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0077EA,
                DP02_0077M,
                DP02_0077MA",0,string,DP02
DP02_0078E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0078EA,
                DP02_0078M,
                DP02_0078MA",0,int,DP02
DP02_0079E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0079EA,
                DP02_0079M,
                DP02_0079MA",0,int,DP02
DP02_0080E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0080EA,
                DP02_0080M,
                DP02_0080MA",0,int,DP02
DP02_0081E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0081EA,
                DP02_0081M,
                DP02_0081MA",0,int,DP02
DP02_0082E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0082EA,
                DP02_0082M,
                DP02_0082MA",0,int,DP02
DP02_0083E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0083EA,
                DP02_0083M,
                DP02_0083MA",0,int,DP02
DP02_0084E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0084EA,
                DP02_0084M,
                DP02_0084MA",0,int,DP02
DP02_0085E,Number!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0085EA,
                DP02_0085M,
                DP02_0085MA",0,int,DP02
DP02_0086E,Number!!Estimate!!PLACE OF BIRTH!!Total population,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0086EA,
                DP02_0086M,
                DP02_0086MA",0,int,DP02
DP02_0087E,Number!!Estimate!!PLACE OF BIRTH!!Total population!!Native,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0087EA,
                DP02_0087M,
                DP02_0087MA",0,int,DP02
DP02_0088E,Number!!Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0088EA,
                DP02_0088M,
                DP02_0088MA",0,int,DP02
DP02_0089E,Number!!Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0089EA,
                DP02_0089M,
                DP02_0089MA",0,int,DP02
DP02_0090E,Number!!Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0090EA,
                DP02_0090M,
                DP02_0090MA",0,int,DP02
DP02_0091E,"Number!!Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0091EA,
                DP02_0091M,
                DP02_0091MA",0,int,DP02
DP02_0092E,Number!!Estimate!!PLACE OF BIRTH!!Total population!!Foreign born,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0092EA,
                DP02_0092M,
                DP02_0092MA",0,int,DP02
DP02_0093E,Number!!Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0093EA,
                DP02_0093M,
                DP02_0093MA",0,int,DP02
DP02_0094E,Number!!Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0094EA,
                DP02_0094M,
                DP02_0094MA",0,int,DP02
DP02_0095E,Number!!Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0095EA,
                DP02_0095M,
                DP02_0095MA",0,int,DP02
DP02_0096E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0096EA,
                DP02_0096M,
                DP02_0096MA",0,int,DP02
DP02_0097E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0097EA,
                DP02_0097M,
                DP02_0097MA",0,int,DP02
DP02_0098E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2000 or later,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0098EA,
                DP02_0098M,
                DP02_0098MA",0,int,DP02
DP02_0099E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2000,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0099EA,
                DP02_0099M,
                DP02_0099MA",0,int,DP02
DP02_0100E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0100EA,
                DP02_0100M,
                DP02_0100MA",0,int,DP02
DP02_0101E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2000 or later,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0101EA,
                DP02_0101M,
                DP02_0101MA",0,int,DP02
DP02_0102E,Number!!Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2000,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0102EA,
                DP02_0102M,
                DP02_0102MA",0,int,DP02
DP02_0103E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0103EA,
                DP02_0103M,
                DP02_0103MA",0,int,DP02
DP02_0104E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0104EA,
                DP02_0104M,
                DP02_0104MA",0,int,DP02
DP02_0105E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0105EA,
                DP02_0105M,
                DP02_0105MA",0,int,DP02
DP02_0106E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0106EA,
                DP02_0106M,
                DP02_0106MA",0,int,DP02
DP02_0107E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0107EA,
                DP02_0107M,
                DP02_0107MA",0,int,DP02
DP02_0108E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0108EA,
                DP02_0108M,
                DP02_0108MA",0,int,DP02
DP02_0109E,"Number!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0109EA,
                DP02_0109M,
                DP02_0109MA",0,int,DP02
DP02_0110E,Number!!Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0110EA,
                DP02_0110M,
                DP02_0110MA",0,int,DP02
DP02_0111E,Number!!Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0111EA,
                DP02_0111M,
                DP02_0111MA",0,int,DP02
DP02_0112E,Number!!Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0112EA,
                DP02_0112M,
                DP02_0112MA",0,int,DP02
DP02_0113E,"Number!!Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0113EA,
                DP02_0113M,
                DP02_0113MA",0,int,DP02
DP02_0114E,Number!!Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0114EA,
                DP02_0114M,
                DP02_0114MA",0,int,DP02
DP02_0115E,"Number!!Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0115EA,
                DP02_0115M,
                DP02_0115MA",0,int,DP02
