Name,Label,Concept
DP01_0038,General Demographic Characteristics!!RACE!!Sioux tribal grouping,General Demographic Characteristics
DP01_0039,General Demographic Characteristics!!RACE!!Asian,General Demographic Characteristics
DP01_0040,General Demographic Characteristics!!RACE!!Asian Indian,General Demographic Characteristics
DP01_0041,General Demographic Characteristics!!RACE!!Chinese,General Demographic Characteristics
DP01_0042,General Demographic Characteristics!!RACE!!Filipino,General Demographic Characteristics
DP01_0043,General Demographic Characteristics!!RACE!!Japanese,General Demographic Characteristics
DP01_0044,General Demographic Characteristics!!RACE!!Korean,General Demographic Characteristics
DP01_0045,General Demographic Characteristics!!RACE!!Vietnamese,General Demographic Characteristics
DP01_0046,General Demographic Characteristics!!RACE!!Other Asian,General Demographic Characteristics
DP01_0047,General Demographic Characteristics!!RACE!!Native Hawaiian and Other Pacific Islander,General Demographic Characteristics
DP01_0048,General Demographic Characteristics!!RACE!!Native Hawaiian ,General Demographic Characteristics
DP01_0049,General Demographic Characteristics!!RACE!!Guamanian or Chamorro,General Demographic Characteristics
DP01_0050,General Demographic Characteristics!!RACE!!Samoan,General Demographic Characteristics
DP01_0051,General Demographic Characteristics!!RACE!!Other Pacific Islander,General Demographic Characteristics
DP01_0052,General Demographic Characteristics!!RACE!!Some other race,General Demographic Characteristics
DP01_0053,General Demographic Characteristics!!RACE!!Two or more races,General Demographic Characteristics
DP01_0054,General Demographic Characteristics!!RACE!!White and Black or African American,General Demographic Characteristics
DP01_0055,General Demographic Characteristics!!RACE!!White and American Indian and Alaska Native,General Demographic Characteristics
DP01_0056,General Demographic Characteristics!!RACE!!White and Asian,General Demographic Characteristics
DP01_0057,General Demographic Characteristics!!RACE!!Black or African American and American Indian and Alaska Native,General Demographic Characteristics
DP01_0058,General Demographic Characteristics!!Race alone or in combination with one or more other races!!Total population,General Demographic Characteristics
DP01_0059,General Demographic Characteristics!!Race alone or in combination with one or more other races!!White ,General Demographic Characteristics
DP01_0060,General Demographic Characteristics!!Race alone or in combination with one or more other races!!Black or African American,General Demographic Characteristics
DP01_0061,General Demographic Characteristics!!Race alone or in combination with one or more other races!!American Indian and Alaska Native,General Demographic Characteristics
DP01_0062,General Demographic Characteristics!!Race alone or in combination with one or more other races!!Asian,General Demographic Characteristics
DP01_0063,General Demographic Characteristics!!Race alone or in combination with one or more other races!!Native Hawaiian and Other Pacific Islander,General Demographic Characteristics
DP01_0064,General Demographic Characteristics!!Race alone or in combination with one or more other races!!Some other race,General Demographic Characteristics
DP01_0065,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Total population,General Demographic Characteristics
DP01_0066,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),General Demographic Characteristics
DP01_0067,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Mexican,General Demographic Characteristics
DP01_0068,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Puerto Rican,General Demographic Characteristics
DP01_0069,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Cuban,General Demographic Characteristics
DP01_0070,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Other Hispanic or Latino,General Demographic Characteristics
DP01_0071,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino,General Demographic Characteristics
DP01_0072,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!White alone,General Demographic Characteristics
DP01_0073,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Black or African American alone,General Demographic Characteristics
DP01_0074,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!American Indian and Alaska Native alone,General Demographic Characteristics
DP01_0075,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Asian alone,General Demographic Characteristics
DP01_0076,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Native Hawaiian and Other Pacific Islander alone,General Demographic Characteristics
DP01_0077,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Some other race alone,General Demographic Characteristics
DP01_0078,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Two or more races,General Demographic Characteristics
DP01_0079,General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Two races including Some other race,General Demographic Characteristics
DP01_0080,"General Demographic Characteristics!!HISPANIC OR LATINO AND RACE!!Two races excluding Some other race, and Three or more races",General Demographic Characteristics
DP01_0081,General Demographic Characteristics!!RELATIONSHIP!!Household population,General Demographic Characteristics
DP01_0082,General Demographic Characteristics!!RELATIONSHIP!!Householder,General Demographic Characteristics
DP01_0083,General Demographic Characteristics!!RELATIONSHIP!!Spouse,General Demographic Characteristics
DP01_0084,General Demographic Characteristics!!RELATIONSHIP!!Child,General Demographic Characteristics
DP01_0085,General Demographic Characteristics!!RELATIONSHIP!!Other relatives,General Demographic Characteristics
DP01_0086,General Demographic Characteristics!!RELATIONSHIP!!Nonrelatives,General Demographic Characteristics
DP01_0087,General Demographic Characteristics!!RELATIONSHIP!!Unmarried partner,General Demographic Characteristics
DP01_0088,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Total households,General Demographic Characteristics
DP01_0089,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Family households (families),General Demographic Characteristics
DP01_0090,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!With own children under 18 years,General Demographic Characteristics
DP01_0091,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Married-couple families,General Demographic Characteristics
DP01_0092,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!With own children under 18 years,General Demographic Characteristics
DP01_0093,"General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Male householder, no wife present",General Demographic Characteristics
DP01_0094,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!With own children under 18 years,General Demographic Characteristics
DP01_0095,"General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Female householder, no husband present",General Demographic Characteristics
DP01_0096,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!With own children under 18 years,General Demographic Characteristics
DP01_0097,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Nonfamily households,General Demographic Characteristics
DP01_0098,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Householder living alone,General Demographic Characteristics
DP01_0099,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!65 years and over,General Demographic Characteristics
DP01_0100,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,General Demographic Characteristics
DP01_0101,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,General Demographic Characteristics
DP01_0102,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Average household size ,General Demographic Characteristics
DP01_0103,General Demographic Characteristics!!HOUSEHOLDS BY TYPE!!Average family size,General Demographic Characteristics
DP02_0001,Selected Social Characteristics in the United States!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Selected Social Characteristics in the United States
DP02_0002,"Selected Social Characteristics in the United States!!SCHOOL ENROLLMENT!!Nursery school, preschool",Selected Social Characteristics in the United States
DP02_0003,Selected Social Characteristics in the United States!!SCHOOL ENROLLMENT!!Kindergarten,Selected Social Characteristics in the United States
DP02_0004,Selected Social Characteristics in the United States!!SCHOOL ENROLLMENT!!Elementary school (grades 1-8),Selected Social Characteristics in the United States
DP02_0005,Selected Social Characteristics in the United States!!SCHOOL ENROLLMENT!!High school (grades 9-12),Selected Social Characteristics in the United States
DP02_0006,Selected Social Characteristics in the United States!!SCHOOL ENROLLMENT!!College or graduate school,Selected Social Characteristics in the United States
DP02_0007,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Selected Social Characteristics in the United States
DP02_0008,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,Selected Social Characteristics in the United States
DP02_0009,"Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",Selected Social Characteristics in the United States
DP02_0010,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),Selected Social Characteristics in the United States
DP02_0011,"Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Some college, no degree",Selected Social Characteristics in the United States
DP02_0012,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Associate's degree,Selected Social Characteristics in the United States
DP02_0013,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,Selected Social Characteristics in the United States
DP02_0014,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree ,Selected Social Characteristics in the United States
DP02_0015,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher,Selected Social Characteristics in the United States
DP02_0016,Selected Social Characteristics in the United States!!EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher,Selected Social Characteristics in the United States
DP02_0017,Selected Social Characteristics in the United States!!MARITAL STATUS!!Males 15 years and over,Selected Social Characteristics in the United States
DP02_0018,Selected Social Characteristics in the United States!!MARITAL STATUS!!Never married,Selected Social Characteristics in the United States
DP02_0019,"Selected Social Characteristics in the United States!!MARITAL STATUS!!Now married, except separated",Selected Social Characteristics in the United States
DP02_0020,Selected Social Characteristics in the United States!!MARITAL STATUS!!Separated,Selected Social Characteristics in the United States
DP02_0021,Selected Social Characteristics in the United States!!MARITAL STATUS!!Widowed,Selected Social Characteristics in the United States
DP02_0022,Selected Social Characteristics in the United States!!MARITAL STATUS!!Divorced,Selected Social Characteristics in the United States
DP02_0023,Selected Social Characteristics in the United States!!MARITAL STATUS!!Females 15 years and over,Selected Social Characteristics in the United States
DP02_0024,Selected Social Characteristics in the United States!!MARITAL STATUS!!Never married,Selected Social Characteristics in the United States
DP02_0025,"Selected Social Characteristics in the United States!!MARITAL STATUS!!Now married, except separated",Selected Social Characteristics in the United States
DP02_0026,Selected Social Characteristics in the United States!!MARITAL STATUS!!Separated,Selected Social Characteristics in the United States
DP02_0027,Selected Social Characteristics in the United States!!MARITAL STATUS!!Widowed,Selected Social Characteristics in the United States
DP02_0028,Selected Social Characteristics in the United States!!MARITAL STATUS!!Divorced,Selected Social Characteristics in the United States
DP02_0029,Selected Social Characteristics in the United States!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Selected Social Characteristics in the United States
DP02_0030,"Selected Social Characteristics in the United States!!FERTILITY!!Unmarried women (widowed, divorced, and never married)",Selected Social Characteristics in the United States
DP02_0031,"Selected Social Characteristics in the United States!!FERTILITY!!Per 1,000 unmarried women",Selected Social Characteristics in the United States
DP02_0032,"Selected Social Characteristics in the United States!!FERTILITY!!Per 1,000 women 15 to 50 years old",Selected Social Characteristics in the United States
DP02_0033,"Selected Social Characteristics in the United States!!FERTILITY!!Per 1,000 women 15 to 19 years old",Selected Social Characteristics in the United States
DP02_0034,"Selected Social Characteristics in the United States!!FERTILITY!!Per 1,000 women 20 to 34 years old",Selected Social Characteristics in the United States
DP02_0035,"Selected Social Characteristics in the United States!!FERTILITY!!Per 1,000 women 35 to 50 years old",Selected Social Characteristics in the United States
DP02_0036,Selected Social Characteristics in the United States!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years in households,Selected Social Characteristics in the United States
DP02_0037,Selected Social Characteristics in the United States!!GRANDPARENTS!!Responsible for grandchildren,Selected Social Characteristics in the United States
DP02_0038,Selected Social Characteristics in the United States!!Characteristics of grandparents responsible for own grandchildren under 18 years!!Who are female,Selected Social Characteristics in the United States
DP02_0039,Selected Social Characteristics in the United States!!Characteristics of grandparents responsible for own grandchildren under 18 years!!Who are married,Selected Social Characteristics in the United States
DP02_0040,Selected Social Characteristics in the United States!!VETERAN STATUS!!Civilian population 18 years and over,Selected Social Characteristics in the United States
DP02_0041,Selected Social Characteristics in the United States!!VETERAN STATUS!!Civilian veterans,Selected Social Characteristics in the United States
DP02_0042,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,Selected Social Characteristics in the United States
DP02_0043,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Same house,Selected Social Characteristics in the United States
DP02_0044,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.,Selected Social Characteristics in the United States
DP02_0045,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Same county,Selected Social Characteristics in the United States
DP02_0046,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Different county,Selected Social Characteristics in the United States
DP02_0047,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Same state,Selected Social Characteristics in the United States
DP02_0048,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Different state,Selected Social Characteristics in the United States
DP02_0049,Selected Social Characteristics in the United States!!RESIDENCE 1 YEAR AGO!!Abroad,Selected Social Characteristics in the United States
DP02_0050,Selected Social Characteristics in the United States!!PLACE OF BIRTH!!Total population,Selected Social Characteristics in the United States
DP02_0051,Selected Social Characteristics in the United States!!PLACE OF BIRTH!!Native,Selected Social Characteristics in the United States
DP02_0052,Selected Social Characteristics in the United States!!PLACE OF BIRTH!!Born in United States,Selected Social Characteristics in the United States
DP02_0053,Selected Social Characteristics in the United States!!PLACE OF BIRTH!!State of residence,Selected Social Characteristics in the United States
DP02_0054,Selected Social Characteristics in the United States!!PLACE OF BIRTH!!Different state,Selected Social Characteristics in the United States
DP02_0055,"Selected Social Characteristics in the United States!!PLACE OF BIRTH!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Selected Social Characteristics in the United States
DP02_0056,Selected Social Characteristics in the United States!!PLACE OF BIRTH!!Foreign born,Selected Social Characteristics in the United States
DP02_0057,Selected Social Characteristics in the United States!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Selected Social Characteristics in the United States
DP02_0058,Selected Social Characteristics in the United States!!U.S. CITIZENSHIP STATUS!!Naturalized U.S. citizen,Selected Social Characteristics in the United States
DP02_0059,Selected Social Characteristics in the United States!!U.S. CITIZENSHIP STATUS!!Not a U.S. citizen,Selected Social Characteristics in the United States
DP02_0060,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!Population born outside the United States,Selected Social Characteristics in the United States
DP02_0061,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!Native,Selected Social Characteristics in the United States
DP02_0062,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!     Entered 2000 or later,Selected Social Characteristics in the United States
DP02_0063,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!     Entered before 2000,Selected Social Characteristics in the United States
DP02_0064,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!Foreign born,Selected Social Characteristics in the United States
DP02_0065,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!     Entered 2000 or later,Selected Social Characteristics in the United States
DP02_0066,Selected Social Characteristics in the United States!!YEAR OF ENTRY!!     Entered before 2000,Selected Social Characteristics in the United States
DP02_0067,"Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea",Selected Social Characteristics in the United States
DP02_0068,Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe,Selected Social Characteristics in the United States
DP02_0069,Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia,Selected Social Characteristics in the United States
DP02_0070,Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa,Selected Social Characteristics in the United States
DP02_0071,Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania,Selected Social Characteristics in the United States
DP02_0072,Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America,Selected Social Characteristics in the United States
DP02_0073,Selected Social Characteristics in the United States!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America,Selected Social Characteristics in the United States
DP02_0074,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over,Selected Social Characteristics in the United States
DP02_0075,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!English only,Selected Social Characteristics in the United States
DP02_0076,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Language other than English,Selected Social Characteristics in the United States
DP02_0077,"Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Speak English less than ""very well""",Selected Social Characteristics in the United States
DP02_0078,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Spanish,Selected Social Characteristics in the United States
DP02_0079,"Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Speak English less than ""very well""",Selected Social Characteristics in the United States
DP02_0080,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Other Indo-European languages,Selected Social Characteristics in the United States
DP02_0081,"Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Speak English less than ""very well""",Selected Social Characteristics in the United States
DP02_0082,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Asian and Pacific Islander languages,Selected Social Characteristics in the United States
DP02_0083,"Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Speak English less than ""very well""",Selected Social Characteristics in the United States
DP02_0084,Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Other languages,Selected Social Characteristics in the United States
DP02_0085,"Selected Social Characteristics in the United States!!LANGUAGE SPOKEN AT HOME!!Speak English less than ""very well""",Selected Social Characteristics in the United States
DP02_0086,Selected Social Characteristics in the United States!!ANCESTRY!!Total population,Selected Social Characteristics in the United States
DP02_0087,Selected Social Characteristics in the United States!!ANCESTRY!!American,Selected Social Characteristics in the United States
DP02_0088,Selected Social Characteristics in the United States!!ANCESTRY!!Arab,Selected Social Characteristics in the United States
DP02_0089,Selected Social Characteristics in the United States!!ANCESTRY!!Czech,Selected Social Characteristics in the United States
DP02_0090,Selected Social Characteristics in the United States!!ANCESTRY!!Danish,Selected Social Characteristics in the United States
DP02_0091,Selected Social Characteristics in the United States!!ANCESTRY!!Dutch,Selected Social Characteristics in the United States
DP02_0092,Selected Social Characteristics in the United States!!ANCESTRY!!English,Selected Social Characteristics in the United States
DP02_0093,Selected Social Characteristics in the United States!!ANCESTRY!!French (except Basque),Selected Social Characteristics in the United States
DP02_0094,Selected Social Characteristics in the United States!!ANCESTRY!!French Canadian,Selected Social Characteristics in the United States
DP02_0095,Selected Social Characteristics in the United States!!ANCESTRY!!German,Selected Social Characteristics in the United States
DP02_0096,Selected Social Characteristics in the United States!!ANCESTRY!!Greek,Selected Social Characteristics in the United States
DP02_0097,Selected Social Characteristics in the United States!!ANCESTRY!!Hungarian,Selected Social Characteristics in the United States
DP02_0098,Selected Social Characteristics in the United States!!ANCESTRY!!Irish,Selected Social Characteristics in the United States
DP02_0099,Selected Social Characteristics in the United States!!ANCESTRY!!Italian,Selected Social Characteristics in the United States
DP02_0100,Selected Social Characteristics in the United States!!ANCESTRY!!Lithuanian,Selected Social Characteristics in the United States
DP02_0101,Selected Social Characteristics in the United States!!ANCESTRY!!Norwegian,Selected Social Characteristics in the United States
DP02_0102,Selected Social Characteristics in the United States!!ANCESTRY!!Polish,Selected Social Characteristics in the United States
DP02_0103,Selected Social Characteristics in the United States!!ANCESTRY!!Portuguese,Selected Social Characteristics in the United States
DP02_0104,Selected Social Characteristics in the United States!!ANCESTRY!!Russian,Selected Social Characteristics in the United States
DP02_0105,Selected Social Characteristics in the United States!!ANCESTRY!!Scotch-Irish,Selected Social Characteristics in the United States
DP02_0106,Selected Social Characteristics in the United States!!ANCESTRY!!Scottish,Selected Social Characteristics in the United States
DP02_0107,Selected Social Characteristics in the United States!!ANCESTRY!!Slovak,Selected Social Characteristics in the United States
DP02_0108,Selected Social Characteristics in the United States!!ANCESTRY!!Subsaharan African,Selected Social Characteristics in the United States
DP02_0109,Selected Social Characteristics in the United States!!ANCESTRY!!Swedish,Selected Social Characteristics in the United States
DP02_0110,Selected Social Characteristics in the United States!!ANCESTRY!!Swiss,Selected Social Characteristics in the United States
DP02_0111,Selected Social Characteristics in the United States!!ANCESTRY!!Ukrainian ,Selected Social Characteristics in the United States
DP02_0112,Selected Social Characteristics in the United States!!ANCESTRY!!Welsh,Selected Social Characteristics in the United States
DP02_0113,Selected Social Characteristics in the United States!!ANCESTRY!!West Indian (excluding Hispanic origin groups),Selected Social Characteristics in the United States
DP03_0001,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Population 16 years and over,Selected Economic Characteristics
DP03_0002,Selected Economic Characteristics!!EMPLOYMENT STATUS!!In labor force,Selected Economic Characteristics
DP03_0003,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Civilian labor force,Selected Economic Characteristics
DP03_0004,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Employed,Selected Economic Characteristics
DP03_0005,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Unemployed,Selected Economic Characteristics
DP03_0006,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Armed Forces,Selected Economic Characteristics
DP03_0007,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Not in labor force,Selected Economic Characteristics
DP03_0008,Selected Economic Characteristics!!EMPLOYMENT STATUS!!    Civilian labor force,Selected Economic Characteristics
DP03_0009,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Unemployed,Selected Economic Characteristics
DP03_0010,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Females 16 years and over,Selected Economic Characteristics
DP03_0011,Selected Economic Characteristics!!EMPLOYMENT STATUS!!In labor force,Selected Economic Characteristics
DP03_0012,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Civilian labor force,Selected Economic Characteristics
DP03_0013,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Employed,Selected Economic Characteristics
DP03_0014,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Own children under 6 years,Selected Economic Characteristics
DP03_0015,Selected Economic Characteristics!!EMPLOYMENT STATUS!!All parents in family in labor force,Selected Economic Characteristics
DP03_0016,Selected Economic Characteristics!!EMPLOYMENT STATUS!!Own children 6 to 17 years,Selected Economic Characteristics
DP03_0017,Selected Economic Characteristics!!EMPLOYMENT STATUS!!All parents in family in labor force,Selected Economic Characteristics
DP03_0018,Selected Economic Characteristics!!COMMUTING TO WORK!!Workers 16 years and over,Selected Economic Characteristics
DP03_0019,"Selected Economic Characteristics!!COMMUTING TO WORK!!Car, truck, or van -- drove alone",Selected Economic Characteristics
DP03_0020,"Selected Economic Characteristics!!COMMUTING TO WORK!!Car, truck, or van -- carpooled",Selected Economic Characteristics
DP03_0021,Selected Economic Characteristics!!COMMUTING TO WORK!!Public transportation (excluding taxicab),Selected Economic Characteristics
DP03_0022,Selected Economic Characteristics!!COMMUTING TO WORK!!Walked,Selected Economic Characteristics
DP03_0023,Selected Economic Characteristics!!COMMUTING TO WORK!!Other means,Selected Economic Characteristics
DP03_0024,Selected Economic Characteristics!!COMMUTING TO WORK!!Worked at home,Selected Economic Characteristics
DP03_0025,Selected Economic Characteristics!!COMMUTING TO WORK!!Mean travel time to work (minutes),Selected Economic Characteristics
DP03_0026,Selected Economic Characteristics!!COMMUTING TO WORK!!Civilian employed population 16 years and over,Selected Economic Characteristics
DP03_0027,"Selected Economic Characteristics!!OCCUPATION!!Management, professional, and related occupations",Selected Economic Characteristics
DP03_0028,Selected Economic Characteristics!!OCCUPATION!!Service occupations,Selected Economic Characteristics
DP03_0029,Selected Economic Characteristics!!OCCUPATION!!Sales and office occupations,Selected Economic Characteristics
DP03_0030,"Selected Economic Characteristics!!OCCUPATION!!Farming, fishing, and forestry occupations",Selected Economic Characteristics
DP03_0031,"Selected Economic Characteristics!!OCCUPATION!!Construction, extraction, maintenance and repair occupations",Selected Economic Characteristics
DP03_0032,"Selected Economic Characteristics!!OCCUPATION!!Production, transportation, and material moving occupations",Selected Economic Characteristics
DP03_0033,"Selected Economic Characteristics!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Selected Economic Characteristics
DP03_0034,Selected Economic Characteristics!!INDUSTRY!!Construction,Selected Economic Characteristics
DP03_0035,Selected Economic Characteristics!!INDUSTRY!!Manufacturing,Selected Economic Characteristics
DP03_0036,Selected Economic Characteristics!!INDUSTRY!!Wholesale trade,Selected Economic Characteristics
DP03_0037,Selected Economic Characteristics!!INDUSTRY!!Retail trade,Selected Economic Characteristics
